,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
lb01_10142024,lb,0.0061286470223736,0.00010057380120502985,10579,1701,start of day 1,1728919392.5742002,10000-6665-21158-001.csv
hb01_10142024,hb,0.0032652463809393086,6.113455225305178e-05,10580,1701,,1728921013.9846303,10000-6666-21160-001.csv
std1702,std,1.2203662396185675,0.0024479673703210643,10581,1702,,1728921633.165875,10000-6667-21162-001.csv
RK24_FCT_01,zirc,2.447386113616564,0.003951720350992543,10582,1702,,1728923258.2822208,10000-6668-21164-001.csv
RK24_FCT_01_re1,zirc,0.07490584871006668,0.0006436471186377106,10583,1702,2.84 remains,1728924698.0839312,10000-6669-21166-001.csv
RK24_FCT_01_re2,zirc,0.020714501322042084,0.00015370617278204945,10584,1702,0.69 remains - done,1728926203.289126,10000-6670-21168-001.csv
Z061224_XAqf_01,zirc,43.40419074127829,0.049110211633956534,10585,1702,,1728931683.2162364,10000-6671-21170-001.csv
Z061224_XAqf_01_re1,zirc,4.992287288180838,0.007678359668496183,10586,1702,10.31 remains,1728933205.489397,10000-6672-21172-001.csv
Z061224_XAqf_01_re2,zirc,0.16296959346491052,0.0006435023080370129,10587,1702,0.33 remains - done,1728934712.8690057,10000-6673-21174-001.csv
std173,std,1.2236476134782488,0.0017127761283362325,10588,1703,,1728935289.8558075,10000-6674-21176-001.csv
Z061224XAqf_02,zirc,22.60763279396855,0.029639399822797615,10589,1703,,1728936773.5677965,10000-6675-21178-001.csv
Z061224XAqf_02_re1,zirc,0.003987706219675644,7.941772870284987e-05,10590,1703,0 remains - done,1728938380.0915911,10000-6676-21180-001.csv
Z061224XAqf_03,zirc,29.970828640089245,0.042851052691578996,10591,1703,,1728940003.0351362,10000-6677-21182-001.csv
Z061224XAqf_03_re1,zirc,2.072115978375495,0.0037090297281251257,10592,1703,6.46 remains,1728941452.8464394,10000-6678-21184-001.csv
Z061224XAqf_03_re2,zirc,0.2385512959902988,0.0009701452953812196,10593,1703,0.73 remains - done,1728942890.2354846,10000-6679-21186-001.csv
Z061224XAqf_04,zirc,19.43633021632484,0.03210939570317909,10594,1703,,1728944432.0886862,10000-6680-21188-001.csv
