,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,Th_ng,Th_ng_1s,Sm_ng,Sm_ng_1s,He_pmol,He_pmol_1s,mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU
TAI_FCT_z13,,,29.74106388895417,0.6281455917259281,2.112048156956555,35.48598302920006,0.6621005138971381,19.710165695410133,0.4147959808720501,2.104477391423669,0.5249184855112191,0.007900141731147585,0.4180270768274437,0.009519039226800316,0,0,0.06637363167049479,0.0011109413542813498,1.6318126939999997e-06,321.67814813629536,256.1734434132572,0.0,381.8789073384108
TAI_MRM34_z1,,low eu,930.7705811544871,17.630306510598082,1.8941624141934332,36.524569930212266,0.6706507309221741,641.02139621832,11.742383851151658,1.8318240109340158,0.197869389402877,0.003810560058701344,0.1579816127168506,0.004197044114637174,0,0,0.8590339854433378,0.0054333049295893325,1.6159468799999992e-06,122.44795410779659,97.76411259066306,0.0,145.4225205666024
TAI_MRM34_z3,,low eu,872.0734350375277,18.076963162756314,2.0728716684253103,45.89267215197435,0.7306122484034776,649.8573624444784,13.105577849886448,2.0166852923830874,0.24148194382525143,0.005496531420464114,0.2547734463272691,0.005490972444702304,0,0,1.1160362128020296,0.007037192037089279,2.927828631e-06,82.47816872491381,87.01788199955243,0.0,102.92737099480863
TAI_MRM34_z6,,low eu,957.5309883077449,16.53124820490664,1.72644524373279,50.56094793970058,0.7542664133207733,736.9492604568893,12.399357561699555,1.6825252737226817,0.30394755906877563,0.005405030317151504,0.279691884886703,0.005644126349458438,0,0,1.565938195326623,0.009830975797831971,4.475690059999999e-06,67.91077018160988,62.49134348831632,0.0,82.59623590136421
TAI_MRM34_z7,,low eu,779.6301044413943,21.3743511131533,2.7416015609694857,32.33443850257373,0.6311969877200518,504.0597729656322,13.453994080394978,2.6691267190870036,0.07346300632641392,0.0021074204348542794,0.07842235334198056,0.00420832159879083,0,0,0.26063533461051497,0.0019027491158965697,1.4988281199999999e-06,49.013629612456114,52.322445979983726,0.0,61.30940441775229
TAI_MRM34_z8,,low eu,946.3957390204372,19.755978752941925,2.087496587145486,34.70032783534103,0.6544918284815734,637.0164275698849,12.937770211170248,2.0309947516621762,0.09080953195027668,0.0018283685183769895,0.08269954935971079,0.003955513419974319,0,0,0.40007837344348335,0.0026620024967099276,1.204342215e-06,75.40176771954862,68.66781578333264,0.0,91.53870442863179
TAI_LRA_67_z1,,low eu,1159.0588696472441,19.779732118266697,1.7065338643486325,62.893660131197414,0.8024108585793588,949.9639574952996,15.823760041008477,1.6657221483149556,1.034150442216676,0.016070680079748212,0.3527704830338403,0.005514190567741869,0,0,6.259217312243084,0.039183131638505744,7.339138816e-06,140.90896331898404,48.06701329381699,0.0,152.20471144303102
TAI_LRA_67_z2,,low eu,978.1963427655734,21.12829808109659,2.159924051787222,49.241995828148966,0.7516969780915256,751.7831182525774,15.812717574154897,2.103361619892385,0.8258058607126019,0.0172344100589595,0.28979557259228983,0.005443144793159931,0,0,3.885387238574871,0.02432697780269231,4.566110097999999e-06,180.855442157278,63.4666195892261,0.0,195.77009776074613
TAI_FCT_z14,,,10.860893043165516,0.23404124787126668,2.15489874489228,32.31761222849638,0.6352548995189854,6.902350316344523,0.14793129501355096,2.1432017824892897,2.0186314395581886,0.03650049088679099,1.06655938638253,0.019504588713410206,0,0,0.08451262815532692,0.0012417330279044585,1.3339056999999996e-06,1513.3239475310656,799.5763016699984,0.0,1701.2243784235152
TAI_LRA_67_Z4,,low eu,1013.8269223827426,16.946980072828367,1.6715851294418969,37.61133343002483,0.6821780947489922,712.156245429597,11.490134009607667,1.6134288062974753,0.7581774758550636,0.012322878641967036,0.3066305253557259,0.005775807868539063,0,0,3.4036455012339886,0.01602619967825412,2.8746362166666662e-06,263.7472774674151,106.66759278197802,0.0,288.8141617711799
TAI_BRB_z1,,low eu,1097.4029466104216,14.43900684963614,1.3157434007475826,60.15849215838452,0.7923704158639331,887.4135018174167,11.40101413465392,1.2847465258647432,1.0138515145583196,0.012853676160478375,0.6409477295627051,0.012081884160969943,0,0,6.038430605560195,0.028430627796200383,6.158437618666666e-06,164.62803998943872,104.07635333025807,0.0,189.08598302204936
TAI_BRB_z2,,mod eu,873.5871583793113,13.033954407886446,1.492003892555745,47.20700197158041,0.7393127661279857,658.7626260281859,9.578149276098122,1.4539606373614022,0.5106008310353081,0.007984937324781562,0.375651676226807,0.006931087929374402,0,0,2.2543283356514583,0.009283635165121564,3.5376359616e-06,144.33391015291858,106.187205327059,0.0,169.28790340477744
TAI_BRB_z5,,low eu,1192.3771454927032,32.918807101624424,2.760771390667842,29.5403495444215,0.604189123031716,751.423217851923,19.882569169498428,2.645988132538184,0.06821269777754739,0.0018256777687064838,0.04654112785516108,0.0033693243403010737,0,0,0.34291127701884133,0.001539395812630124,8.0840423e-07,84.37944192541816,57.571603571595716,0.0,97.90876876474316
TAI_BRB_z6,,low eu,915.7421826246233,15.107700738896686,1.6497766539045153,41.876215336190256,0.713118913341134,669.059780714316,10.732956482374163,1.6041849759546467,0.49777601343922484,0.007829548562964576,0.1037591150916784,0.0030977259412861458,0,0,2.0057634740155375,0.008257437761934282,2.232265919999999e-06,222.99136002543332,46.48152093442274,0.0,233.91451744502265
TAI_FCT_z15,,,25.688126231188924,0.354637320033188,1.3805495848218365,62.93285202636352,0.801341750219946,20.59475542534123,0.2829657826276295,1.3739701044443993,3.6263480708367166,0.05523615023284277,2.031059246153489,0.028013436670919704,0,0,0.45656310621424645,0.0019540656174579624,9.176634299999999e-06,395.1719064185349,221.32943078634935,0.0,447.184322653327
NSVG_DTR_z1,,mod-high eu,1125.0540497113443,20.98251986112928,1.8650232730163296,44.20329352969364,0.7219886876311934,834.6143818011845,15.055389020772687,1.80387366298213,0.3088807101964912,0.006095004204043516,0.2850836894286515,0.0075178139314188,0,0,1.819335522059992,0.0074915976662357445,2.7297849138e-06,113.15203210150118,104.43448785560193,0.0,137.69413674756763
NSVG_DTR_z2,,"mod eu, one tip rounded",1108.7230681849219,15.421357404759473,1.3909115673046835,56.23600458882272,0.7777091524661776,881.0161622518706,11.936563157273893,1.354863130633623,0.9697700239857989,0.013878315707727277,0.8250779358328932,0.015001780622684915,0,0,5.974923191009199,0.02455695339721136,7.0756678666666666e-06,137.05703012917928,116.60778196215503,0.0,164.45985889028572
NSVG_APR_z1,,low eu,906.5770999474566,12.818393505392377,1.4139330792863956,58.640714270485034,0.7835382984322858,721.7017517096309,10.006071328147112,1.3864551810278756,0.20394125772208774,0.0032220215112096105,0.30074979381010614,0.006091211676852779,0,0,1.1338421902768712,0.0046863321626505385,6.558088475266666e-06,31.097667939558416,45.859368159542406,0.0,41.87461945705088
TAI_APR_z2,,low eu,947.2040715054374,13.688017838387259,1.4450970229289901,45.688878177625405,0.726806417203588,702.8671012499605,9.979183877416116,1.4197824680753155,0.1528373442395773,0.0022594292913469486,0.2445343847786103,0.007008217651861964,0,0,0.8437561785854671,0.002933269088884262,2.9474398799999993e-06,51.85427030307309,82.96501192031451,0.0,71.351048104347
TAI_APR_z3,,low to mod eu,827.9430071485913,16.50259603684033,1.9932043503422696,38.78118180381244,0.6855754040510734,580.0187026926535,11.235539763317679,1.9370995644034061,0.1436386068956171,0.0032230387901181516,0.16586127330935213,0.004995823775067291,0,0,0.5996789682525296,0.0021033316475333173,1.8238219364666662e-06,78.75692468854258,90.94159358050004,0.0,100.12819917996009
TAI_APR_z4,,low eu,1324.1895688438688,23.807183493904024,1.7978682247655629,40.90235540376556,0.6972177417127692,953.9157038139317,16.500311771390738,1.72974527051179,0.08466856657831832,0.0017306892068491364,0.14818488829558552,0.003652847450102258,0,0,0.6638806952822949,0.0023226027118400123,2.173181128e-06,38.96065794397895,68.18800623027751,0.0,54.98483940809416
TAI_APR_z5,,low to mod eu,1057.3735038574514,29.23989795860043,2.765332954904682,57.48912887534822,0.7784866112066575,838.6723284237486,22.664290471870064,2.70240112899238,0.10457871774200715,0.00343262114507901,0.1825477683355845,0.0071178582508280115,0,0,0.7134459897963104,0.0024807082621407495,6.202433003066666e-06,16.860918560555245,29.431638881923835,0.0,23.777353697807346
TAI_FCT_z16,,,25.206850182472582,0.42536184629282303,1.687485120963648,37.63976396062647,0.6819150531345114,17.201774904062567,0.2888069104713903,1.678936691603739,1.0616223154664648,0.01601109408268711,0.49131081653694936,0.009507962213794768,0,0,0.10933306405250229,0.001128717494078598,1.9272495861333328e-06,550.8483816029309,254.92848465085055,0.0,610.7565754958807
TAI_APR_z6,,low eu,807.4082696192216,19.048334958287004,2.3591949296321064,46.27065553223395,0.7276964025950504,597.3995718144927,13.783895468001058,2.3073159269490233,0.05666608993565916,0.0016746842188580674,0.12208559054069092,0.003907063210632078,0,0,0.28797246284933364,0.0011820713904794487,2.973344510133332e-06,19.058030356905434,41.060021845640854,0.0,28.707135490631032
TAI_APR_z7,,mod-high eu,867.4813544228541,18.399887982890032,2.121070140479469,36.47365058635066,0.6613529259168299,586.3482912465281,12.181852419123548,2.0775795889548743,0.04512772671050404,0.0011071997348302241,0.11045135077309161,0.003757204990491578,0,0,0.23496834637640654,0.0009976505529871048,1.5323426159999995e-06,29.45015444933893,72.0800620042872,0.0,46.38896902034642
TAI_MRM8_z1,,low-mod eu,1021.4045280626574,17.582298552776813,1.7213844338565765,42.336105002493206,0.7141298741212544,748.9642588072463,12.480087857930023,1.6663128729006418,0.6554082046571457,0.011353350109884279,0.2882485838707975,0.005055648063094499,0,0,3.128115424486822,0.010678470779688328,2.3429107933333334e-06,279.74099847168134,123.03011480035784,0.0,308.6530754497654
TAI_MRM8_z2,,mod eu,677.5617256826683,11.655064738480947,1.7201480391676554,40.15293347531767,0.69933417005819,482.3876688391437,8.091799764602458,1.6774474737455896,1.2146607960915592,0.02219087203126262,0.6518946293644473,0.011191830773466254,0,0,3.7138257100938854,0.012677183332690335,2.8252955647999996e-06,429.9234427805942,230.73502025286137,0.0,484.1461725400166
TAI_MRM8_z3,,mod-high eu,622.4174596438206,9.329769410924595,1.4989568924148706,39.605625643247265,0.695739605915011,440.29056700285014,6.4447563792258356,1.4637507278651547,4.9404916671859835,0.07822562343684744,2.5514211240935936,0.03711184272719231,0,0,13.677282913259162,0.04663553506036398,3.6180947210666665e-06,1365.495391378105,705.183617564716,0.0,1531.2135415058133
TAI_MRM8_z4,,low-mod eu,314.42537293766503,5.017633045057606,1.5958104774363595,48.303716299371175,0.7462597401954605,236.27369372009488,3.721832011264468,1.575220648843621,4.525374583040467,0.08046777947276937,2.246948621452721,0.031995789470437005,0,0,6.572959430059176,0.008757670980552247,6.502833239999999e-06,695.9081397327155,345.5337909684305,0.0,777.1085806102967
TAI_MRM8_z5,,low-mod eu,696.5935341871044,11.476438050761674,1.6475085523373683,46.80071523873199,0.7372574400808378,521.7182774831962,8.400054736554374,1.6100748428973581,1.9225344093631942,0.03541561173867855,1.4076464613841362,0.0256715234439434,0,0,6.634613074048671,0.00883996459698235,5.628352079999998e-06,341.5803386207486,250.09921934097213,0.0,400.35365516587706
